forecast_id,product_id,region,forecast_date,predicted_demand,confidence_low,confidence_high,social_factor,model_version,explanation,created_at
4541,1541,Bay Area (SF),2026-05-27,144,93,173,1.05,telco_signal_v2,"{""model"":""telco_signal_v2"",""drivers"":[""upgrade_demand_spike"",""account_manager_cluster"",""weekend_streaming_effect""],""top_advocate"":""@signalbridge_hope"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-27T11:26:27Z
4542,1541,Bay Area (SF),2026-05-28,122,101,181,1.2,telco_signal_v2,"{""model"":""telco_signal_v2"",""drivers"":[""upgrade_demand_spike"",""account_manager_cluster"",""weekend_streaming_effect""],""top_advocate"":""@signalbridge_hope"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-27T11:26:27Z
4543,1541,Bay Area (SF),2026-05-29,167,109,189,1.35,telco_signal_v2,"{""model"":""telco_signal_v2"",""drivers"":[""upgrade_demand_spike"",""account_manager_cluster"",""weekend_streaming_effect""],""top_advocate"":""@signalbridge_hope"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-27T11:26:27Z
4544,1541,Bay Area (SF),2026-05-30,143,117,197,1.4,telco_signal_v2,"{""model"":""telco_signal_v2"",""drivers"":[""upgrade_demand_spike"",""account_manager_cluster"",""weekend_streaming_effect""],""top_advocate"":""@signalbridge_hope"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-27T11:26:27Z
4545,1541,Bay Area (SF),2026-05-31,159,125,205,1.33,telco_signal_v2,"{""model"":""telco_signal_v2"",""drivers"":[""upgrade_demand_spike"",""account_manager_cluster"",""weekend_streaming_effect""],""top_advocate"":""@signalbridge_hope"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-27T11:26:27Z
4546,1541,Bay Area (SF),2026-06-01,193,133,213,1.32,telco_signal_v2,"{""model"":""telco_signal_v2"",""drivers"":[""upgrade_demand_spike"",""account_manager_cluster"",""weekend_streaming_effect""],""top_advocate"":""@signalbridge_hope"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-27T11:26:27Z
4547,1541,Bay Area (SF),2026-06-02,195,141,221,1.39,telco_signal_v2,"{""model"":""telco_signal_v2"",""drivers"":[""upgrade_demand_spike"",""account_manager_cluster"",""weekend_streaming_effect""],""top_advocate"":""@signalbridge_hope"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-27T11:26:27Z
4548,1541,Bay Area (SF),2026-06-03,205,149,229,1.47,telco_signal_v2,"{""model"":""telco_signal_v2"",""drivers"":[""upgrade_demand_spike"",""account_manager_cluster"",""weekend_streaming_effect""],""top_advocate"":""@signalbridge_hope"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-27T11:26:27Z
4549,1541,Bay Area (SF),2026-06-04,187,157,237,1.63,telco_signal_v2,"{""model"":""telco_signal_v2"",""drivers"":[""upgrade_demand_spike"",""account_manager_cluster"",""weekend_streaming_effect""],""top_advocate"":""@signalbridge_hope"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-27T11:26:27Z
4550,1541,Bay Area (SF),2026-06-05,189,165,245,1.63,telco_signal_v2,"{""model"":""telco_signal_v2"",""drivers"":[""upgrade_demand_spike"",""account_manager_cluster"",""weekend_streaming_effect""],""top_advocate"":""@signalbridge_hope"",""urgency_score"":87,""confidence"":""high"",""trend"":""accelerating""}",2026-05-27T11:26:27Z
