mention_id,post_id,product_id,confidence_score,mention_type,created_at
22541,44542,1546,0.961,hashtag,2026-05-27T11:26:09Z
22542,44543,1555,0.974,visual,2026-05-27T11:26:09Z
22543,44545,1557,0.988,direct,2026-05-27T11:26:09Z
22544,44546,1551,0.922,semantic,2026-05-27T11:26:09Z
22545,44547,1556,0.988,hashtag,2026-05-27T11:26:09Z
22546,44549,1545,0.905,inferred,2026-05-27T11:26:09Z
22547,44550,1553,0.735,direct,2026-05-27T11:26:09Z
22548,44554,1553,0.956,inferred,2026-05-27T11:26:09Z
22549,44555,1548,0.809,direct,2026-05-27T11:26:09Z
22550,44558,1545,0.908,visual,2026-05-27T11:26:09Z
22551,44560,1544,0.984,direct,2026-05-27T11:26:09Z
22552,44561,1563,0.995,semantic,2026-05-27T11:26:09Z
22553,44562,1549,0.854,hashtag,2026-05-27T11:26:09Z
22554,44563,1558,0.956,visual,2026-05-27T11:26:09Z
22555,44564,1569,0.94,inferred,2026-05-27T11:26:09Z
22556,44565,1546,0.715,direct,2026-05-27T11:26:09Z
22557,44566,1547,0.778,semantic,2026-05-27T11:26:09Z
22558,44567,1561,0.761,hashtag,2026-05-27T11:26:09Z
22559,44570,1544,0.844,direct,2026-05-27T11:26:09Z
22560,44572,1569,0.964,hashtag,2026-05-27T11:26:09Z
22561,44573,1548,0.879,visual,2026-05-27T11:26:09Z
22562,44574,1561,0.713,inferred,2026-05-27T11:26:09Z
22563,44575,1562,0.826,direct,2026-05-27T11:26:09Z
22564,44576,1567,0.735,semantic,2026-05-27T11:26:09Z
22565,44577,1545,0.834,hashtag,2026-05-27T11:26:09Z
22566,44578,1571,0.92,visual,2026-05-27T11:26:09Z
22567,44579,1563,0.807,inferred,2026-05-27T11:26:09Z
22568,44580,1564,0.818,direct,2026-05-27T11:26:09Z
22569,44581,1562,0.936,semantic,2026-05-27T11:26:09Z
22570,44582,1569,0.84,hashtag,2026-05-27T11:26:09Z
22571,44584,1558,0.934,inferred,2026-05-27T11:26:09Z
22572,44585,1543,0.945,direct,2026-05-27T11:26:09Z
22573,44588,1558,0.981,visual,2026-05-27T11:26:09Z
22574,44590,1553,0.709,direct,2026-05-27T11:26:09Z
22575,44591,1565,0.951,semantic,2026-05-27T11:26:09Z
22576,44593,1561,0.962,visual,2026-05-27T11:26:09Z
22577,44594,1555,0.74,inferred,2026-05-27T11:26:09Z
22578,44595,1561,0.899,direct,2026-05-27T11:26:09Z
22579,44596,1560,0.832,semantic,2026-05-27T11:26:09Z
