item_id,order_id,product_id,quantity,unit_price,fulfilled_from
44541,44541,1546,1,260,152
44542,44541,1562,1,40,152
44543,44541,1550,3,0,152
44544,44541,1547,2,420,152
44545,44541,1566,1,30,152
44546,44542,1554,2,145,150
44547,44542,1572,3,20,150
44548,44542,1566,2,30,150
44549,44542,1571,1,30,150
44550,44542,1572,3,20,150
44551,44543,1541,1,85,142
44552,44543,1554,2,145,142
44553,44544,1565,3,45,144
44554,44544,1554,1,145,144
44555,44544,1566,3,30,144
44556,44544,1545,1,95,144
44557,44544,1548,1,180,144
44558,44545,1548,1,180,150
44559,44545,1554,3,145,150
44560,44545,1555,1,220,150
44561,44546,1546,1,260,144
44562,44546,1571,2,30,144
44563,44546,1571,2,30,144
44564,44546,1552,2,45,144
44565,44547,1566,1,30,148
44566,44547,1551,2,0,148
44567,44547,1551,1,0,148
44568,44547,1572,2,20,148
44569,44548,1566,1,30,
44570,44548,1572,1,20,
44571,44548,1561,2,210,
44572,44548,1560,1,15,
44573,44548,1559,2,89,
44574,44549,1570,2,25,148
44575,44549,1556,1,70,148
44576,44550,1561,2,210,141
44577,44551,1558,3,95,141
44578,44551,1565,3,45,141
44579,44551,1568,2,640,141
44580,44551,1546,2,260,141
44581,44552,1568,3,640,145
44582,44552,1563,2,150,145
44583,44552,1550,3,0,145
44584,44553,1570,2,25,152
44585,44553,1571,3,30,152
44586,44553,1542,2,35,152
44587,44553,1550,3,0,152
44588,44554,1556,3,70,147
44589,44554,1557,3,115,147
44590,44554,1559,3,89,147
44591,44554,1554,2,145,147
44592,44555,1542,2,35,145
44593,44555,1558,3,95,145
44594,44555,1542,1,35,145
44595,44555,1558,2,95,145
44596,44555,1563,1,150,145
44597,44556,1555,2,220,
44598,44557,1543,2,25,150
44599,44557,1554,1,145,150
44600,44557,1542,3,35,150
44601,44558,1544,2,120,147
44602,44558,1549,2,55,147
44603,44558,1554,3,145,147
44604,44559,1543,1,25,151
44605,44560,1559,2,89,148
44606,44561,1566,1,30,152
44607,44561,1558,2,95,152
44608,44561,1562,1,40,152
44609,44561,1570,1,25,152
44610,44561,1554,1,145,152
44611,44562,1546,2,260,148
