brand_id,brand_name,brand_slug,brand_category,headquarters_city,headquarters_lat,headquarters_lon,founded_year,annual_revenue,social_tier,created_at,updated_at
1,SignalBridge Mobile,signalbridge,Mobile Service,New York,40.7128,-74.006,2012,325000000,premium,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
2,FiberPath Broadband,fiberpath,Mobile Service,Chicago,41.8781,-87.6298,2008,210000000,premium,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
3,PulsePoint 5G,pulsepoint5g,5G Services,Dallas,32.7767,-96.797,2015,185000000,premium,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
4,ClearMind Customer Care,clearmindcare,Customer Retention,Seattle,47.6062,-122.3321,2019,76000000,standard,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
5,OrbitMotion IoT,orbitmotion,Orthopedics,Denver,39.7392,-104.9903,2016,98000000,standard,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
6,HomeConnect Fixed Wireless,homeconnect,Home Connectivity,Atlanta,33.749,-84.388,2018,124000000,standard,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
7,MetroSupply Devices,metrosupply,Network Supplies,Phoenix,33.4484,-112.074,2014,260000000,premium,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
8,WellNest Family Plans,wellnest,Family Plans,Boston,42.3601,-71.0589,2020,54000000,emerging,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
9,SilverLine Connected Life,silverline,Connected Life,Miami,25.7617,-80.1918,2011,148000000,standard,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
10,EnterpriseEdge Services,enterpriseedge,Enterprise Connectivity,San Francisco,37.7749,-122.4194,2017,132000000,premium,2026-05-05T16:30:00Z,2026-05-05T16:30:00Z
