post_id,influencer_id,platform,external_post_id,post_text,posted_at,likes_count,shares_count,comments_count,views_count,sentiment_score,virality_score,detected_products,momentum_flag,processed_at,created_at
44541,4772,tiktok,ext_tiktok_00000001,Outage follow-up is the top request in our subscriber forum this week,2026-05-20T21:20:34Z,37264,12939,5890,322350,0.096,,,viral,,2026-05-27T11:26:09Z
44542,4622,tiktok,ext_tiktok_00000002,Coverage update: Small Business Fiber SLA capacity at FiberPath Broadband is getting tight after a spike in service orders,2026-05-13T18:31:07Z,8568,1369,684,142046,0.565,,,rising,,2026-05-27T11:26:09Z
44543,4707,tiktok,ext_tiktok_00000003,Subscriber experience note - OrbitMotion IoT Field Technician Evaluation is the service everyone is trying to schedule right now,2026-04-30T01:16:47Z,93,53,43,15620,0.578,,,normal,,2026-05-27T11:26:09Z
44544,4865,tiktok,ext_tiktok_00000004,Coverage gaps are delaying service assurance for several subscriber groups,2026-05-14T01:30:28Z,785,87,6,18850,0.734,,,normal,,2026-05-27T11:26:09Z
44545,4878,threads,ext_threads_00000005,"Two-week review of HomeConnect Fixed Wireless LTE Backup Gateway: strong subscriber response, but capacity planning matters",2026-05-08T12:49:10Z,4679,913,874,191808,0.837,,,rising,,2026-05-27T11:26:09Z
44546,4568,twitter,ext_twitter_00000006,Families keep asking where to find Outage Follow-Up Call. ClearMind Customer Care is showing up in every upgrade thread,2026-05-13T17:22:08Z,32799,2084,3950,916313,0.692,,,viral,,2026-05-27T11:26:09Z
44547,4992,youtube,ext_youtube_00000007,NOC huddle: prioritize HomeConnect Fixed Wireless Fixed Wireless Home Internet installs before the weekend streaming surge,2026-05-17T01:00:32Z,71,17,5,19282,0.367,,,normal,,2026-05-27T11:26:09Z
44548,4832,youtube,ext_youtube_00000008,Enterprise care teams are coordinating SLA-impact cases across regional service teams today,2026-05-06T08:06:32Z,722,0,33,18694,0.014,,,normal,,2026-05-27T11:26:09Z
44549,4588,twitter,ext_twitter_00000009,"If your subscribers need Fiber Repair Appointment, check FiberPath Broadband availability early; appointment slots are moving fast",2026-05-06T18:37:17Z,414,48,32,15767,0.208,,,normal,,2026-05-27T11:26:09Z
44550,4566,instagram,ext_instagram_00000010,Day 30 with the IoT Sensor Gateway Kit workflow and the field team says OrbitMotion IoT reduced manual follow-up,2026-05-12T19:16:06Z,285,82,36,19747,0.928,,,normal,,2026-05-27T11:26:09Z
