connection_id,from_influencer,to_influencer,connection_type,strength,interaction_count,first_seen,last_interaction
44541,4978,5024,collaborates,0.549,123,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44542,4923,4985,mentioned,0.938,137,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44543,4910,4873,reshared,0.874,96,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44544,4817,4664,tagged,0.703,45,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44545,4656,4572,duet,0.568,25,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44546,4771,4881,inspired_by,0.453,7,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44547,4983,4598,follows,0.129,56,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44548,4557,4815,collaborates,0.469,43,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44549,4954,4920,mentioned,0.838,38,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44550,4964,4711,reshared,0.846,69,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44551,4586,4821,tagged,0.48,111,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44552,4841,5056,duet,0.861,2,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44553,5027,4618,inspired_by,0.938,26,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44554,4923,4881,follows,0.133,157,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44555,4650,5058,collaborates,0.455,104,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44556,4620,5060,mentioned,0.901,39,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44557,4822,4702,reshared,0.671,93,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44558,4557,5013,tagged,0.317,109,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44559,4773,5045,duet,0.865,121,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44560,4805,5003,inspired_by,0.433,19,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44561,4618,4578,follows,0.94,199,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44562,4653,4572,mentioned,0.5,65,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44563,4811,5023,reshared,0.553,70,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44564,4648,4779,tagged,0.658,187,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44565,4777,4615,duet,0.674,97,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44566,4634,4982,inspired_by,0.517,136,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44567,4919,4841,follows,0.14,150,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44568,4981,4820,collaborates,0.639,15,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44569,4860,4605,mentioned,0.795,121,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44570,4593,4701,reshared,0.443,23,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44571,4607,4888,tagged,0.321,5,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44572,4587,4543,duet,0.212,99,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44573,4800,5020,inspired_by,0.789,113,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44574,4549,4981,follows,0.155,93,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44575,4702,4988,collaborates,0.474,179,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44576,5006,4550,mentioned,0.163,198,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44577,4977,4849,reshared,0.926,150,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44578,4885,4699,tagged,0.167,29,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44579,4884,4828,duet,0.874,70,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44580,4685,4986,inspired_by,0.449,63,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44581,4586,5001,follows,0.103,14,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44582,4917,4800,collaborates,0.453,116,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44583,4886,4723,mentioned,0.724,155,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44584,4681,4689,reshared,0.56,129,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44585,4619,4853,tagged,0.45,106,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44586,4655,4661,duet,0.439,54,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44587,4813,4963,inspired_by,0.624,192,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44588,4611,4569,follows,0.163,179,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44589,4890,4998,collaborates,0.473,120,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44590,4655,4832,mentioned,0.616,77,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44591,4958,4701,reshared,0.299,10,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44592,4842,4767,tagged,0.811,84,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44593,4653,4894,duet,0.373,40,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44594,5041,4622,inspired_by,0.263,66,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44595,4725,4842,follows,0.769,28,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44596,4703,4650,collaborates,0.116,58,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44597,4644,5017,mentioned,0.62,86,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44598,4726,4929,reshared,0.48,117,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44599,4705,5005,tagged,0.571,28,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44600,5055,4958,duet,0.456,154,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44601,4961,4969,inspired_by,0.325,101,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44602,4732,4857,follows,0.492,183,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44603,5011,5048,collaborates,0.261,182,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44604,4715,4728,mentioned,0.375,20,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44605,4611,4597,reshared,0.448,132,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44606,4844,4895,tagged,0.588,66,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44607,4946,4893,duet,0.646,106,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44608,4764,4572,inspired_by,0.666,104,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44609,5046,4617,follows,0.532,175,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44610,4596,4806,collaborates,0.975,142,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44611,4606,4629,mentioned,0.751,114,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44612,5059,4683,reshared,0.423,133,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44613,5031,4777,tagged,0.5,169,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44614,4546,4576,duet,0.855,75,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44615,4881,4572,inspired_by,0.106,93,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44616,5046,4574,follows,0.375,187,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44617,4930,4702,collaborates,0.746,143,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44618,4593,5059,mentioned,0.871,172,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44619,4585,4890,reshared,0.514,167,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44620,5053,4986,tagged,0.992,145,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44621,4987,4859,duet,0.387,180,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44622,5009,4660,inspired_by,0.643,191,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44623,4960,4701,follows,0.426,186,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44624,4913,4678,collaborates,0.981,108,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44625,4682,4587,mentioned,0.22,197,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44626,5058,4676,reshared,0.172,194,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
44627,5047,4915,tagged,0.314,187,2026-05-27T11:26:23Z,2026-05-27T11:26:23Z
