"Title","Description","Included Activities (Tasks to be performed)","Unit","Initial estimate","Effort","Comments"
"Document Ingestion and Processing","Use custom parsing workflow for RAG corpus preparation","1. Review source document structure. 2. Parse supported documents. 3. Extract sections and metadata. 4. Capture anchors and image references. 5. Chunk content for retrieval. 6. Prepare normalized ingestion output.","1","5.00","5.00","Assumes supported source formats and agreed corpus location"
"Embedding and Vector Store Configuration","Use OCI Generative AI and Oracle AI Database for vector indexing","1. Configure embedding model access. 2. Create vector schema. 3. Generate text embeddings. 4. Load vectors into database. 5. Validate retrieval quality. 6. Support full index rebuild.","1","4.00","4.00","Requires OCI GenAI access Oracle AI Database access and wallet configuration"
"Retrieval and Prompt Construction","Use retrieval orchestration to prepare grounded model input","1. Embed user query. 2. Retrieve top candidate chunks. 3. Apply lexical reranking. 4. Build grounded prompt. 5. Add source references. 6. Prepare model-ready context package.","1","4.00","4.00","Prompt style and answer expectations should be agreed"
"GenAI Chat Service","Use OCI chat models to generate grounded responses","1. Configure chat model integration. 2. Send grounded prompt to model. 3. Parse model response. 4. Handle insufficient-context cases. 5. Return cited answer. 6. Expose service through API.","1","4.00","4.00","Requires OCI credentials model access and connectivity"
"React User Interface","Use React to build the end-user chat experience","1. Build chat interface. 2. Integrate frontend with APIs. 3. Display responses and sources. 4. Show retrieved evidence. 5. Add status and rebuild controls. 6. Support reset conversation behavior.","1","5.00","5.00","Enterprise branding SSO and custom UX flows are excluded unless added"
"Multimodal Search","Use image embeddings and vision model support for image-assisted queries","1. Enable image upload. 2. Prepare image payload. 3. Generate image embeddings. 4. Retrieve similar indexed images. 5. Invoke vision model path. 6. Display returned image matches.","1","4.00","4.00","Subject to supported image formats and model availability"
"API and Service Layer","Use FastAPI to expose application services","1. Implement health endpoint. 2. Implement status endpoint. 3. Implement ingestion trigger endpoint. 4. Implement chat endpoint. 5. Add request and response models. 6. Handle validation and errors.","1","3.00","3.00","Assumes standard REST-based integration"
"Security and Access Setup","Configure secure access for OCI and application components","1. Review IAM setup. 2. Configure least-privilege access. 3. Secure secrets and runtime config. 4. Validate network access. 5. Review endpoint exposure. 6. Perform basic security checks.","1 ENV","3.00","3.00","Customer must provide tenancy access approvals and network details"
"Deployment and Environment Setup","Prepare the application for target environment deployment","1. Configure environment settings. 2. Build frontend artifacts. 3. Configure runtime startup. 4. Validate connectivity. 5. Perform smoke testing. 6. Support deployment handoff.","1 ENV","3.00","3.00","Separate environments may require additional effort"
"Testing and Validation","Validate functional behavior and response quality","1. Prepare test queries. 2. Validate ingestion. 3. Verify retrieval relevance. 4. Tune prompts and chunking. 5. Test error scenarios. 6. Document findings and recommendations.","1","4.00","4.00","Requires SME participation for business validation"
"Total","","","","","39.00","Sum of estimated effort across listed line items"
