"Title","Description","Included Activities (Tasks to be performed)","Unit","Initial estimate","Effort","Comments"
"Document Ingestion and Processing","Use Python-based parsing pipeline to ingest source documents into the RAG solution","1. Identify supported document types and folder structure. 2. Parse source documents and extract clean text blocks. 3. Detect headings, sections, anchors, and metadata. 4. Extract image references and document relationships. 5. Create chunking logic with overlap for retrieval readiness. 6. Prepare normalized records for downstream embedding and storage.","1","5.00","5.00","Source files should be available in an agreed folder structure and encoding format"
"Embedding and Vector Index Setup","Use OCI Generative AI embeddings and Oracle AI Database vector storage","1. Configure embedding model access. 2. Create vector-ready schema for text chunks. 3. Generate embeddings for parsed content. 4. Load embeddings into Oracle AI Database. 5. Validate similarity search results. 6. Rebuild index for full corpus ingestion.","1","4.00","4.00","OCI GenAI access Oracle AI Database access and wallet configuration must be available"
"Retrieval and Prompt Orchestration","Use application logic to retrieve relevant context and build grounded prompts","1. Embed incoming user query. 2. Retrieve top matching chunks from vector store. 3. Apply lightweight lexical reranking. 4. Construct grounded prompt with retrieved context. 5. Add source labels for traceability. 6. Return prompt payload to the chat model.","1","4.00","4.00","Requires approved prompt behavior and target answer style"
"GenAI Chat Service Implementation","Use OCI Generative AI chat models to generate grounded responses","1. Configure chat model integration. 2. Pass grounded prompt to the model. 3. Handle model response parsing. 4. Add fallback behavior for insufficient context. 5. Return answer with source references. 6. Expose chat capability through API endpoints.","1","4.00","4.00","Model access network connectivity and OCI credentials are required"
"Frontend Chat UI Development","Use React to develop a user-facing RAG interface","1. Create chat-style UI for user questions. 2. Integrate frontend with backend APIs. 3. Display answer text and supporting sources. 4. Show retrieval excerpts and related image thumbnails. 5. Add status and index rebuild controls. 6. Support clear or reset conversation flow.","1","5.00","5.00","UI branding SSO and enterprise UX standards are out of scope unless separately included"
"Multimodal Image Search and Vision Flow","Use image embeddings and vision model support for image-assisted queries","1. Enable image upload in the UI. 2. Convert uploaded image to supported request format. 3. Generate image embeddings. 4. Retrieve similar indexed images from vector store. 5. Invoke vision-capable model for multimodal answering. 6. Display related image matches in the UI.","1","4.00","4.00","Supported image types and model availability must be confirmed"
"API and Integration Layer","Use FastAPI to expose ingestion status and chat services","1. Create health and status endpoints. 2. Implement ingestion trigger endpoint. 3. Implement chat endpoint. 4. Add request and response schemas. 5. Handle validation and error responses. 6. Prepare API for frontend integration.","1","3.00","3.00","Assumes standard REST integration pattern"
"Security and Access Configuration","Configure secure access for application components and OCI services","1. Review IAM compartments groups and policies. 2. Configure least-privilege access for database and GenAI services. 3. Secure runtime configuration and secrets. 4. Validate network access between components. 5. Review static asset exposure and application endpoints. 6. Support basic deployment-time security checks.","1 ENV","3.00","3.00","Customer must provide tenancy access policy approval and target network details"
"Deployment and Environment Configuration","Deploy the GenAI application into the target environment","1. Configure environment variables and runtime settings. 2. Build frontend artifacts. 3. Configure backend startup scripts. 4. Validate application connectivity. 5. Execute smoke tests post-deployment. 6. Support handoff to hosting team.","1 ENV","3.00","3.00","Separate effort may be needed for DEV TEST and PROD environments"
"Testing Tuning and Validation","Validate retrieval quality answer quality and end-to-end behavior","1. Prepare sample business questions. 2. Test ingestion and indexing flow. 3. Validate retrieval relevance. 4. Tune chunking and prompt behavior. 5. Test error paths and empty-context scenarios. 6. Document open issues and recommendations.","1","4.00","4.00","Business SME participation is required for answer-quality validation"
"Total","","","","","39.00","Sum of estimated effort across listed line items"
