inventory_id,product_id,center_id,quantity_on_hand,quantity_reserved,quantity_incoming,reorder_point,reorder_qty,last_restock_date,updated_at
1,1,1,21,2,10,35,80,2026-05-01,2026-05-05T16:30:00Z
2,1,2,22,4,10,35,80,2026-05-01,2026-05-05T16:30:00Z
3,1,3,23,6,10,35,80,2026-05-01,2026-05-05T16:30:00Z
4,2,1,22,2,10,35,80,2026-05-01,2026-05-05T16:30:00Z
5,2,2,24,4,10,35,80,2026-05-01,2026-05-05T16:30:00Z
6,2,3,26,6,10,35,80,2026-05-01,2026-05-05T16:30:00Z
7,3,1,23,2,10,35,80,2026-05-01,2026-05-05T16:30:00Z
8,3,2,26,4,10,35,80,2026-05-01,2026-05-05T16:30:00Z
9,3,3,29,6,10,35,80,2026-05-01,2026-05-05T16:30:00Z
10,4,1,24,2,10,35,80,2026-05-01,2026-05-05T16:30:00Z
11,4,2,28,4,10,35,80,2026-05-01,2026-05-05T16:30:00Z
12,4,3,32,6,10,35,80,2026-05-01,2026-05-05T16:30:00Z
13,5,1,25,2,10,35,80,2026-05-01,2026-05-05T16:30:00Z
14,5,2,30,4,10,35,80,2026-05-01,2026-05-05T16:30:00Z
15,5,3,35,6,10,35,80,2026-05-01,2026-05-05T16:30:00Z
16,6,1,26,2,10,35,80,2026-05-01,2026-05-05T16:30:00Z
17,6,2,32,4,10,35,80,2026-05-01,2026-05-05T16:30:00Z
18,6,3,38,6,10,35,80,2026-05-01,2026-05-05T16:30:00Z
19,7,1,27,2,10,35,80,2026-05-01,2026-05-05T16:30:00Z
20,7,2,34,4,10,35,80,2026-05-01,2026-05-05T16:30:00Z
21,7,3,41,6,10,35,80,2026-05-01,2026-05-05T16:30:00Z
22,8,1,28,2,10,35,80,2026-05-01,2026-05-05T16:30:00Z
23,8,2,36,4,10,35,80,2026-05-01,2026-05-05T16:30:00Z
24,8,3,44,6,10,35,80,2026-05-01,2026-05-05T16:30:00Z
25,9,1,29,2,10,35,80,2026-05-01,2026-05-05T16:30:00Z
26,9,2,38,4,10,35,80,2026-05-01,2026-05-05T16:30:00Z
27,9,3,47,6,10,35,80,2026-05-01,2026-05-05T16:30:00Z
28,10,1,30,2,10,35,80,2026-05-01,2026-05-05T16:30:00Z
29,10,2,40,4,10,35,80,2026-05-01,2026-05-05T16:30:00Z
30,10,3,50,6,10,35,80,2026-05-01,2026-05-05T16:30:00Z
31,11,1,31,2,10,35,80,2026-05-01,2026-05-05T16:30:00Z
32,11,2,42,4,10,35,80,2026-05-01,2026-05-05T16:30:00Z
33,11,3,53,6,10,35,80,2026-05-01,2026-05-05T16:30:00Z
34,12,1,32,2,10,35,80,2026-05-01,2026-05-05T16:30:00Z
35,12,2,44,4,10,35,80,2026-05-01,2026-05-05T16:30:00Z
36,12,3,56,6,10,35,80,2026-05-01,2026-05-05T16:30:00Z
37,13,1,33,2,10,35,80,2026-05-01,2026-05-05T16:30:00Z
38,13,2,46,4,10,35,80,2026-05-01,2026-05-05T16:30:00Z
39,13,3,59,6,10,35,80,2026-05-01,2026-05-05T16:30:00Z
40,14,1,34,2,10,35,80,2026-05-01,2026-05-05T16:30:00Z
41,14,2,48,4,10,35,80,2026-05-01,2026-05-05T16:30:00Z
42,14,3,62,6,10,35,80,2026-05-01,2026-05-05T16:30:00Z
43,15,1,35,2,10,35,80,2026-05-01,2026-05-05T16:30:00Z
44,15,2,50,4,10,35,80,2026-05-01,2026-05-05T16:30:00Z
45,15,3,65,6,10,35,80,2026-05-01,2026-05-05T16:30:00Z
46,16,1,36,2,10,35,80,2026-05-01,2026-05-05T16:30:00Z
47,16,2,52,4,10,35,80,2026-05-01,2026-05-05T16:30:00Z
48,16,3,68,6,10,35,80,2026-05-01,2026-05-05T16:30:00Z
49,17,1,37,2,10,35,80,2026-05-01,2026-05-05T16:30:00Z
50,17,2,54,4,10,35,80,2026-05-01,2026-05-05T16:30:00Z
51,17,3,71,6,10,35,80,2026-05-01,2026-05-05T16:30:00Z
52,18,1,38,2,10,35,80,2026-05-01,2026-05-05T16:30:00Z
53,18,2,56,4,10,35,80,2026-05-01,2026-05-05T16:30:00Z
54,18,3,74,6,10,35,80,2026-05-01,2026-05-05T16:30:00Z
55,19,1,39,2,10,35,80,2026-05-01,2026-05-05T16:30:00Z
56,19,2,58,4,10,35,80,2026-05-01,2026-05-05T16:30:00Z
57,19,3,77,6,10,35,80,2026-05-01,2026-05-05T16:30:00Z
58,20,1,40,2,10,35,80,2026-05-01,2026-05-05T16:30:00Z
59,20,2,60,4,10,35,80,2026-05-01,2026-05-05T16:30:00Z
60,20,3,80,6,10,35,80,2026-05-01,2026-05-05T16:30:00Z
61,23,1,42,3,12,30,70,2026-05-01,2026-05-05T16:30:00Z
62,23,2,55,5,12,30,70,2026-05-01,2026-05-05T16:30:00Z
63,23,3,69,6,12,30,70,2026-05-01,2026-05-05T16:30:00Z
64,24,1,39,3,10,28,65,2026-05-01,2026-05-05T16:30:00Z
65,24,2,51,4,10,28,65,2026-05-01,2026-05-05T16:30:00Z
66,24,3,64,6,10,28,65,2026-05-01,2026-05-05T16:30:00Z
