influencer_id,handle,display_name,platform,follower_count,engagement_rate,influence_score,niche,city,region,country,is_verified,created_at
4541,@signal_mike,Signal Mike,instagram,550509,0.0301,85.7,Mobile Service,New York,New York,US,1,2026-05-27T11:26:09Z
4542,@signal_jen,Signal Jen,tiktok,5781,0.0722,76.79,Fiber Broadband,Los Angeles,California,US,0,2026-05-27T11:26:09Z
4543,@signal_alex,Signal Alex,twitter,7668,0.1014,93.33,5G Services,Chicago,Illinois,US,0,2026-05-27T11:26:09Z
4544,@signal_zoe,Signal Zoe,youtube,11463,0.0687,77.92,Customer Retention,Houston,Texas,US,0,2026-05-27T11:26:09Z
4545,@signal_marcus,Signal Marcus,threads,7692,0.0342,65.07,Home Internet,Phoenix,Arizona,US,0,2026-05-27T11:26:09Z
4546,@signal_lily,Signal Lily,instagram,71135,0.0451,84.53,Device Upgrades,San Francisco,California,US,0,2026-05-27T11:26:09Z
4547,@signal_kai,Signal Kai,tiktok,284421,0.0336,75.58,Roaming Services,Miami,Florida,US,0,2026-05-27T11:26:09Z
4548,@signal_maya,Signal Maya,twitter,61217,0.0591,93.08,Enterprise Connectivity,Seattle,Washington,US,0,2026-05-27T11:26:09Z
4549,@signal_tyler,Signal Tyler,youtube,4596,0.097,90.05,IoT Connectivity,Denver,Colorado,US,0,2026-05-27T11:26:09Z
4550,@signal_ava,Signal Ava,threads,9000,0.0717,80.04,Network Monitoring,Austin,Texas,US,0,2026-05-27T11:26:09Z
4551,@fiber_jen,Fiber Jen,instagram,1279,0.1193,93.58,Service Assurance,Nashville,Tennessee,US,0,2026-05-27T11:26:09Z
4552,@fiber_zoe,Fiber Zoe,tiktok,9661,0.1046,98.59,Field Operations,Portland,Oregon,US,0,2026-05-27T11:26:09Z
4553,@fiber_lily,Fiber Lily,twitter,393583,0.0299,83.01,Family Plans,Boston,Massachusetts,US,0,2026-05-27T11:26:09Z
4554,@fiber_maya,Fiber Maya,youtube,6458,0.0362,69.24,Connected Life,Atlanta,Georgia,US,0,2026-05-27T11:26:09Z
4555,@fiber_ava,Fiber Ava,threads,5247,0.0372,71.39,Billing Experience,Dallas,Texas,US,0,2026-05-27T11:26:09Z
4556,@fiber_nina,Fiber Nina,instagram,62250,0.0747,91.08,Mobile Service,San Diego,California,US,0,2026-05-27T11:26:09Z
4557,@fiber_ella,Fiber Ella,tiktok,1824,0.0984,89.72,Fiber Broadband,Minneapolis,Minnesota,US,0,2026-05-27T11:26:09Z
4558,@fiber_aria,Fiber Aria,twitter,28961,0.0676,93.63,5G Services,Detroit,Michigan,US,0,2026-05-27T11:26:09Z
4559,@fiber_luna,Fiber Luna,youtube,41009,0.0378,81.38,Customer Retention,Las Vegas,Nevada,US,0,2026-05-27T11:26:09Z
4560,@fiber_mia,Fiber Mia,threads,2022,0.0636,66.52,Home Internet,Brooklyn,New York,US,0,2026-05-27T11:26:09Z
4561,@5g_alex,5g Alex,instagram,2735,0.037,66.05,Device Upgrades,New York,New York,US,0,2026-05-27T11:26:09Z
4562,@5g_lily,5g Lily,tiktok,71686,0.048,78.77,Roaming Services,Los Angeles,California,US,0,2026-05-27T11:26:09Z
4563,@5g_tyler,5g Tyler,twitter,950655,0.0349,93.53,Enterprise Connectivity,Chicago,Illinois,US,1,2026-05-27T11:26:09Z
4564,@5g_nina,5g Nina,youtube,3400,0.1197,100,IoT Connectivity,Houston,Texas,US,0,2026-05-27T11:26:09Z
4565,@5g_finn,5g Finn,threads,4075,0.0465,70.23,Network Monitoring,Phoenix,Arizona,US,0,2026-05-27T11:26:09Z
4566,@5g_luna,5g Luna,instagram,6668,0.0397,63.14,Service Assurance,San Francisco,California,US,0,2026-05-27T11:26:09Z
4567,@5g_noah,5g Noah,tiktok,3055,0.0601,78.61,Field Operations,Miami,Florida,US,0,2026-05-27T11:26:09Z
4568,@5g_ruby,5g Ruby,twitter,1113,0.0313,45.82,Family Plans,Seattle,Washington,US,0,2026-05-27T11:26:09Z
4569,@5g_dane,5g Dane,youtube,12230242,0.025,97.2,Connected Life,Denver,Colorado,US,1,2026-05-27T11:26:09Z
4570,@5g_hope,5g Hope,threads,271114,0.0277,85.59,Billing Experience,Austin,Texas,US,0,2026-05-27T11:26:09Z
4571,@mobile_zoe,Mobile Zoe,instagram,79486,0.0328,73.99,Mobile Service,Nashville,Tennessee,US,0,2026-05-27T11:26:09Z
4572,@mobile_maya,Mobile Maya,tiktok,7320,0.0387,66.42,Fiber Broadband,Portland,Oregon,US,0,2026-05-27T11:26:09Z
4573,@mobile_nina,Mobile Nina,twitter,7419,0.0333,69.28,5G Services,Boston,Massachusetts,US,0,2026-05-27T11:26:09Z
4574,@mobile_aria,Mobile Aria,youtube,84061,0.0449,85.51,Customer Retention,Atlanta,Georgia,US,0,2026-05-27T11:26:09Z
4575,@mobile_mia,Mobile Mia,threads,82373,0.0507,88.48,Home Internet,Dallas,Texas,US,0,2026-05-27T11:26:09Z
4576,@mobile_ruby,Mobile Ruby,instagram,6943,0.0849,89.77,Device Upgrades,San Diego,California,US,0,2026-05-27T11:26:09Z
4577,@mobile_faye,Mobile Faye,tiktok,72013,0.0742,91.81,Roaming Services,Minneapolis,Minnesota,US,0,2026-05-27T11:26:09Z
4578,@mobile_jace,Mobile Jace,twitter,10276,0.067,87.27,Enterprise Connectivity,Detroit,Michigan,US,0,2026-05-27T11:26:09Z
4579,@mobile_omar,Mobile Omar,youtube,2082,0.0312,60.58,IoT Connectivity,Las Vegas,Nevada,US,0,2026-05-27T11:26:09Z
4580,@mobile_tess,Mobile Tess,threads,7445,0.0819,89.66,Network Monitoring,Brooklyn,New York,US,0,2026-05-27T11:26:09Z
4581,@roaming_marcus,Roaming Marcus,instagram,255570,0.0356,80.5,Service Assurance,New York,New York,US,0,2026-05-27T11:26:09Z
4582,@roaming_ava,Roaming Ava,tiktok,572642,0.0443,84.89,Field Operations,Los Angeles,California,US,1,2026-05-27T11:26:09Z
4583,@roaming_finn,Roaming Finn,twitter,25378,0.074,85.68,Family Plans,Chicago,Illinois,US,0,2026-05-27T11:26:09Z
4584,@roaming_mia,Roaming Mia,youtube,637018,0.0237,83.57,Connected Life,Houston,Texas,US,1,2026-05-27T11:26:09Z
4585,@roaming_max,Roaming Max,threads,5985,0.0526,73.89,Billing Experience,Phoenix,Arizona,US,0,2026-05-27T11:26:09Z
4586,@roaming_hope,Roaming Hope,instagram,23365,0.0309,74.66,Mobile Service,San Francisco,California,US,0,2026-05-27T11:26:09Z
4587,@roaming_nora,Roaming Nora,tiktok,96361,0.0788,93.83,Fiber Broadband,Miami,Florida,US,0,2026-05-27T11:26:09Z
4588,@roaming_tess,Roaming Tess,twitter,248890,0.0381,91.07,5G Services,Seattle,Washington,US,0,2026-05-27T11:26:09Z
4589,@roaming_yuri,Roaming Yuri,youtube,85511,0.075,93.78,Customer Retention,Denver,Colorado,US,0,2026-05-27T11:26:09Z
